"filename", "language", "CSS", "PHP", "JSON", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\uodatabase\.vs\ProjectSettings.json", "JSON", 0, 0, 3, 0, 0, 0, 3
"c:\xampp\htdocs\uodatabase\.vs\VSWorkspaceState.json", "JSON", 0, 0, 6, 0, 0, 0, 6
"c:\xampp\htdocs\uodatabase\Pages\addCadet.php", "PHP", 0, 38, 0, 0, 0, 5, 43
"c:\xampp\htdocs\uodatabase\Pages\cadetView.php", "PHP", 0, 108, 0, 0, 0, 21, 129
"c:\xampp\htdocs\uodatabase\Pages\cadets.php", "PHP", 0, 56, 0, 0, 0, 10, 66
"c:\xampp\htdocs\uodatabase\Pages\editInventory.php", "PHP", 0, 117, 0, 0, 0, 26, 143
"c:\xampp\htdocs\uodatabase\Pages\individualCadet.php", "PHP", 0, 82, 0, 0, 0, 15, 97
"c:\xampp\htdocs\uodatabase\Pages\inventory.php", "PHP", 0, 83, 0, 0, 0, 14, 97
"c:\xampp\htdocs\uodatabase\Pages\manageTables.php", "PHP", 0, 103, 0, 0, 0, 13, 116
"c:\xampp\htdocs\uodatabase\Pages\newOrder.php", "PHP", 0, 123, 0, 0, 0, 29, 152
"c:\xampp\htdocs\uodatabase\Pages\removeCadet.php", "PHP", 0, 30, 0, 0, 0, 5, 35
"c:\xampp\htdocs\uodatabase\Pages\report.html", "HTML", 0, 0, 0, 19, 5, 4, 28
"c:\xampp\htdocs\uodatabase\Pages\template.html", "HTML", 0, 0, 0, 16, 5, 6, 27
"c:\xampp\htdocs\uodatabase\Pages\template.php", "PHP", 0, 21, 0, 0, 0, 6, 27
"c:\xampp\htdocs\uodatabase\custom.css", "CSS", 130, 0, 0, 0, 31, 20, 181
"c:\xampp\htdocs\uodatabase\includes\addCadet.inc.php", "PHP", 0, 14, 0, 0, 4, 5, 23
"c:\xampp\htdocs\uodatabase\includes\addColumn.inc.php", "PHP", 0, 9, 0, 0, 0, 3, 12
"c:\xampp\htdocs\uodatabase\includes\addTable.inc.php", "PHP", 0, 16, 0, 0, 4, 4, 24
"c:\xampp\htdocs\uodatabase\includes\addToEdit.inc.php", "PHP", 0, 10, 0, 0, 1, 3, 14
"c:\xampp\htdocs\uodatabase\includes\addToOrder.inc.php", "PHP", 0, 10, 0, 0, 1, 3, 14
"c:\xampp\htdocs\uodatabase\includes\cancelEdit.inc.php", "PHP", 0, 8, 0, 0, 3, 6, 17
"c:\xampp\htdocs\uodatabase\includes\cancelOrder.inc.php", "PHP", 0, 8, 0, 0, 3, 3, 14
"c:\xampp\htdocs\uodatabase\includes\dbh.inc.php", "PHP", 0, 6, 0, 0, 0, 2, 8
"c:\xampp\htdocs\uodatabase\includes\editInventory.inc.php", "PHP", 0, 52, 0, 0, 10, 15, 77
"c:\xampp\htdocs\uodatabase\includes\functions.inc.php", "PHP", 0, 70, 0, 0, 9, 13, 92
"c:\xampp\htdocs\uodatabase\includes\nameOrder.inc.php", "PHP", 0, 47, 0, 0, 6, 13, 66
"c:\xampp\htdocs\uodatabase\includes\removeCadet.inc.php", "PHP", 0, 12, 0, 0, 4, 4, 20
"c:\xampp\htdocs\uodatabase\includes\removeColumn.inc.php", "PHP", 0, 8, 0, 0, 0, 3, 11
"c:\xampp\htdocs\uodatabase\includes\removeTable.inc.php", "PHP", 0, 9, 0, 0, 0, 3, 12
"c:\xampp\htdocs\uodatabase\includes\submitOrder.inc.php", "PHP", 0, 67, 0, 0, 19, 16, 102
"c:\xampp\htdocs\uodatabase\includes\swipeOrder.inc.php", "PHP", 0, 50, 0, 0, 7, 13, 70
"c:\xampp\htdocs\uodatabase\includes\viewCadet.inc.php", "PHP", 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\uodatabase\index.php", "PHP", 0, 31, 0, 0, 0, 2, 33
"Total", "-", 130, 1188, 9, 35, 112, 286, 1760
