"filename", "language", "HTML", "PHP", "CSS", "JSON", "comment", "blank", "total"
"c:\xampp\htdocs\uodatabase\.vs\ProjectSettings.json", "JSON", 0, 0, 0, 3, 0, 0, 3
"c:\xampp\htdocs\uodatabase\.vs\VSWorkspaceState.json", "JSON", 0, 0, 0, 6, 0, 0, 6
"c:\xampp\htdocs\uodatabase\addCadet.php", "PHP", 0, 38, 0, 0, 0, 5, 43
"c:\xampp\htdocs\uodatabase\cadetView.php", "PHP", 0, 75, 0, 0, 0, 13, 88
"c:\xampp\htdocs\uodatabase\cadets.php", "PHP", 0, 56, 0, 0, 0, 10, 66
"c:\xampp\htdocs\uodatabase\custom.css", "CSS", 0, 0, 181, 0, 5, 28, 214
"c:\xampp\htdocs\uodatabase\editInventory.php", "PHP", 0, 117, 0, 0, 0, 26, 143
"c:\xampp\htdocs\uodatabase\footer.php", "PHP", 0, 3, 0, 0, 0, 0, 3
"c:\xampp\htdocs\uodatabase\header.php", "PHP", 0, 49, 0, 0, 0, 10, 59
"c:\xampp\htdocs\uodatabase\includes\addCadet.inc.php", "PHP", 0, 14, 0, 0, 4, 5, 23
"c:\xampp\htdocs\uodatabase\includes\addColumn.inc.php", "PHP", 0, 9, 0, 0, 0, 3, 12
"c:\xampp\htdocs\uodatabase\includes\addTable.inc.php", "PHP", 0, 16, 0, 0, 4, 4, 24
"c:\xampp\htdocs\uodatabase\includes\addToEdit.inc.php", "PHP", 0, 10, 0, 0, 1, 3, 14
"c:\xampp\htdocs\uodatabase\includes\addToOrder.inc.php", "PHP", 0, 10, 0, 0, 1, 3, 14
"c:\xampp\htdocs\uodatabase\includes\cancelEdit.inc.php", "PHP", 0, 8, 0, 0, 3, 6, 17
"c:\xampp\htdocs\uodatabase\includes\cancelOrder.inc.php", "PHP", 0, 8, 0, 0, 3, 3, 14
"c:\xampp\htdocs\uodatabase\includes\dbh.inc.php", "PHP", 0, 6, 0, 0, 0, 2, 8
"c:\xampp\htdocs\uodatabase\includes\editInventory.inc.php", "PHP", 0, 52, 0, 0, 10, 15, 77
"c:\xampp\htdocs\uodatabase\includes\editPersonalInventory.inc.php", "PHP", 0, 72, 0, 0, 1, 8, 81
"c:\xampp\htdocs\uodatabase\includes\functions.inc.php", "PHP", 0, 70, 0, 0, 9, 13, 92
"c:\xampp\htdocs\uodatabase\includes\login.inc.php", "PHP", 0, 47, 0, 0, 0, 4, 51
"c:\xampp\htdocs\uodatabase\includes\logout.inc.php", "PHP", 0, 7, 0, 0, 0, 0, 7
"c:\xampp\htdocs\uodatabase\includes\nameOrder.inc.php", "PHP", 0, 47, 0, 0, 6, 13, 66
"c:\xampp\htdocs\uodatabase\includes\placeOrder.inc.php", "PHP", 0, 7, 0, 0, 0, 3, 10
"c:\xampp\htdocs\uodatabase\includes\removeCadet.inc.php", "PHP", 0, 12, 0, 0, 4, 4, 20
"c:\xampp\htdocs\uodatabase\includes\removeColumn.inc.php", "PHP", 0, 8, 0, 0, 0, 3, 11
"c:\xampp\htdocs\uodatabase\includes\removeTable.inc.php", "PHP", 0, 9, 0, 0, 0, 3, 12
"c:\xampp\htdocs\uodatabase\includes\signup.inc.php", "PHP", 0, 58, 0, 0, 3, 3, 64
"c:\xampp\htdocs\uodatabase\includes\submitOrder.inc.php", "PHP", 0, 67, 0, 0, 19, 16, 102
"c:\xampp\htdocs\uodatabase\includes\swipeOrder.inc.php", "PHP", 0, 50, 0, 0, 7, 13, 70
"c:\xampp\htdocs\uodatabase\includes\viewCadet.inc.php", "PHP", 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\uodatabase\index.php", "PHP", 0, 43, 0, 0, 0, 19, 62
"c:\xampp\htdocs\uodatabase\individualCadet.php", "PHP", 0, 82, 0, 0, 0, 15, 97
"c:\xampp\htdocs\uodatabase\inventory.php", "PHP", 0, 83, 0, 0, 0, 14, 97
"c:\xampp\htdocs\uodatabase\manageTables.php", "PHP", 0, 103, 0, 0, 0, 13, 116
"c:\xampp\htdocs\uodatabase\newOrder.php", "PHP", 0, 123, 0, 0, 0, 29, 152
"c:\xampp\htdocs\uodatabase\removeCadet.php", "PHP", 0, 30, 0, 0, 0, 5, 35
"c:\xampp\htdocs\uodatabase\report.html", "HTML", 19, 0, 0, 0, 5, 4, 28
"c:\xampp\htdocs\uodatabase\signup.php", "PHP", 0, 26, 0, 0, 0, 1, 27
"c:\xampp\htdocs\uodatabase\template.html", "HTML", 16, 0, 0, 0, 5, 6, 27
"c:\xampp\htdocs\uodatabase\template.php", "PHP", 0, 21, 0, 0, 0, 6, 27
"Total", "-", 35, 1436, 181, 9, 90, 332, 2083
